id,alt,year,title,rating,original_title,directors,casts,genres,image
1291545,https://movie.douban.com/subject/1291545/,2003,大鱼,8.7,Big Fish,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普","剧情,家庭,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p692813374.jpg
1291546,https://movie.douban.com/subject/1291546/,1993,霸王别姬,9.5,霸王别姬,陈凯歌,"张国荣,张丰毅,巩俐","剧情,爱情,同性",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910813120.jpg
1291548,https://movie.douban.com/subject/1291548/,1989,死亡诗社,8.9,Dead Poets Society,彼得·威尔,"罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910824340.jpg
1291549,https://movie.douban.com/subject/1291549/,2004,放牛班的春天,9.2,Les choristes,克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,弗朗索瓦·贝莱昂","剧情,音乐",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910824951.jpg
1291552,https://movie.douban.com/subject/1291552/,2003,指环王3：王者无敌,9.1,The Lord of the Rings: The Return of the King,彼得·杰克逊,"维果·莫腾森,伊利亚·伍德,西恩·奥斯汀","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910825503.jpg
1291557,https://movie.douban.com/subject/1291557/,2000,花样年华,8.5,花樣年華,王家卫,"梁朝伟,张曼玉,潘迪华","剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910828286.jpg
1291560,https://movie.douban.com/subject/1291560/,1988,龙猫,9.1,となりのトトロ,宫崎骏,"日高法子,坂本千夏,岛本须美","动画,奇幻",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1910829638.jpg
1291561,https://movie.douban.com/subject/1291561/,2001,千与千寻,9.2,千と千尋の神隠し,宫崎骏,"柊瑠美,入野自由,夏木真理","剧情,动画,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910830216.jpg
1291568,https://movie.douban.com/subject/1291568/,1953,东京物语,9.2,東京物語,小津安二郎,"笠智众,原节子,杉村春子","剧情,家庭",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910832390.jpg
1291571,https://movie.douban.com/subject/1291571/,2001,指环王1：魔戒再现,8.9,The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1354436051.jpg
1291572,https://movie.douban.com/subject/1291572/,2002,指环王2：双塔奇兵,8.9,The Lord of the Rings: The Two Towers,彼得·杰克逊,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p909265336.jpg
1291578,https://movie.douban.com/subject/1291578/,2002,冰川时代,8.4,Ice Age,"卡洛斯·萨尔达尼亚,克里斯·韦奇","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞","喜剧,动画,冒险",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1910895719.jpg
1291579,https://movie.douban.com/subject/1291579/,2001,怪兽电力公司,8.6,"Monsters, Inc.","彼特·道格特,大卫·斯沃曼,李·昂克里奇","约翰·古德曼,比利·克里斯托,玛丽·吉布斯","喜剧,动画,儿童",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1805127697.jpg
1291583,https://movie.douban.com/subject/1291583/,1986,天空之城,9,天空の城ラピュタ,宫崎骏,"田中真弓,横泽启子,初井言荣","动画,奇幻,冒险",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1446261379.jpg
1291585,https://movie.douban.com/subject/1291585/,1984,风之谷,8.8,風の谷のナウシカ,宫崎骏,"岛本须美,松田洋治,榊原良子","科幻,动画,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1917567652.jpg
1291818,https://movie.douban.com/subject/1291818/,1994,饮食男女,9,飲食男女,李安,"吴倩莲,杨贵媚,王渝文","剧情,家庭",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910899751.jpg
1291822,https://movie.douban.com/subject/1291822/,2004,卢旺达饭店,8.8,Hotel Rwanda,特瑞·乔治,"唐·钱德尔,苏菲·奥康内多,杰昆·菲尼克斯","剧情,历史,战争",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2159368352.jpg
1291824,https://movie.douban.com/subject/1291824/,2001,黑鹰坠落,8.5,Black Hawk Down,雷德利·斯科特,"乔什·哈奈特,伊万·麦克格雷格,汤姆·塞兹摩尔","动作,历史,战争",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910900710.jpg
1291828,https://movie.douban.com/subject/1291828/,1988,天堂电影院,9.1,Nuovo Cinema Paradiso,朱塞佩·托纳多雷,"安东内拉·阿蒂利,恩佐·卡拉瓦勒,艾萨·丹尼埃利","剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910901025.jpg
1291832,https://movie.douban.com/subject/1291832/,1994,低俗小说,8.7,Pulp Fiction,昆汀·塔伦蒂诺,"约翰·特拉沃尔塔,乌玛·瑟曼,阿曼达·普拉莫","剧情,喜剧,犯罪",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910902213.jpg
1291841,https://movie.douban.com/subject/1291841/,1972,教父,9.2,The Godfather,弗朗西斯·福特·科波拉,"马龙·白兰度,阿尔·帕西诺,詹姆斯·肯恩","剧情,犯罪",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910907590.jpg
1291843,https://movie.douban.com/subject/1291843/,1999,黑客帝国,8.8,The Matrix,"莉莉·沃卓斯基,拉娜·沃卓斯基","基努·里维斯,凯瑞-安·莫斯,劳伦斯·菲什伯恩","动作,科幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910908765.jpg
1291844,https://movie.douban.com/subject/1291844/,1991,终结者2：审判日,8.5,Terminator 2: Judgment Day,詹姆斯·卡梅隆,"阿诺·施瓦辛格,琳达·汉密尔顿,爱德华·福隆","动作,科幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910909085.jpg
1291853,https://movie.douban.com/subject/1291853/,1996,英国病人,8.4,The English Patient,安东尼·明格拉,"拉尔夫·费因斯,克里斯汀·斯科特·托马斯,朱丽叶·比诺什","爱情,剧情,战争",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2408623752.jpg
1291858,https://movie.douban.com/subject/1291858/,2000,鬼子来了,9.2,鬼子来了,姜文,"姜文,香川照之,袁丁","剧情,战争",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1181775734.jpg
1291870,https://movie.douban.com/subject/1291870/,1988,雨人,8.6,Rain Man,巴瑞·莱文森,"达斯汀·霍夫曼,汤姆·克鲁斯,瓦莱丽亚·戈利诺",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p942376281.jpg
1291875,https://movie.douban.com/subject/1291875/,1994,阳光灿烂的日子,8.7,阳光灿烂的日子,姜文,"夏雨,宁静,陶虹",剧情,https://img1.doubanio.com/view/movie_poster_cover/spst/public/p967457079.jpg
1291879,https://movie.douban.com/subject/1291879/,1950,罗生门,8.7,羅生門,黑泽明,"三船敏郎,千秋实,京町子","犯罪,剧情,悬疑",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1864872647.jpg
1291990,https://movie.douban.com/subject/1291990/,2004,爱在日落黄昏时,8.7,Before Sunset,理查德·林克莱特,"伊桑·霍克,朱莉·德尔佩,弗农·多布切夫","剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910924055.jpg
1291992,https://movie.douban.com/subject/1291992/,1991,末路狂花,8.7,Thelma & Louise,雷德利·斯科特,"吉娜·戴维斯,苏珊·萨兰登,哈威·凯特尔","犯罪,剧情,惊悚",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p794583044.jpg
1291999,https://movie.douban.com/subject/1291999/,1994,重庆森林,8.6,重慶森林,王家卫,"林青霞,金城武,梁朝伟","剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p792381411.jpg
1292000,https://movie.douban.com/subject/1292000/,1999,搏击俱乐部,9,Fight Club,大卫·芬奇,"爱德华·诺顿,布拉德·皮特,海伦娜·伯翰·卡特","剧情,动作,悬疑",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1910926158.jpg
1292001,https://movie.douban.com/subject/1292001/,1998,海上钢琴师,9.2,La leggenda del pianista sull'oceano,朱塞佩·托纳多雷,"蒂姆·罗斯,普路特·泰勒·文斯,比尔·努恩","剧情,音乐",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p511146957.jpg
1292052,https://movie.douban.com/subject/1292052/,1994,肖申克的救赎,9.6,The Shawshank Redemption,弗兰克·德拉邦特,"蒂姆·罗宾斯,摩根·弗里曼,鲍勃·冈顿","犯罪,剧情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p480747492.jpg
1292056,https://movie.douban.com/subject/1292056/,2002,蝴蝶,8.6,Le Papillon,费利普·弥勒,"米歇尔·塞罗尔,柯莱儿·布翁尼许,娜德·蒂约","剧情,儿童,喜剧",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1451436171.jpg
1292062,https://movie.douban.com/subject/1292062/,1999,美国丽人,8.4,American Beauty,萨姆·门德斯,"凯文·史派西,安妮特·贝宁,索拉·伯奇","剧情,家庭",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p571671715.jpg
1292063,https://movie.douban.com/subject/1292063/,1997,美丽人生,9.5,La vita è bella,罗伯托·贝尼尼,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼","剧情,喜剧,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p510861873.jpg
1292064,https://movie.douban.com/subject/1292064/,1998,楚门的世界,9,The Truman Show,彼得·威尔,"金·凯瑞,劳拉·琳妮,艾德·哈里斯","剧情,科幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p479682972.jpg
1292208,https://movie.douban.com/subject/1292208/,2002,上帝之城,8.9,Cidade de Deus,"卡迪亚·兰德,费尔南多·梅里尔斯","亚历桑德雷·罗德里格斯,莱安德鲁·菲尔米诺,菲利佩·哈根森","犯罪,剧情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p455677490.jpg
1292213,https://movie.douban.com/subject/1292213/,1995,大话西游之大圣娶亲,9.2,西遊記大結局之仙履奇緣,刘镇伟,"周星驰,吴孟达,朱茵","动作,冒险,喜剧",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2455050536.jpg
1292214,https://movie.douban.com/subject/1292214/,1995,非常嫌疑犯,8.6,The Usual Suspects,布莱恩·辛格,"史蒂芬·鲍德温,加布里埃尔·伯恩,本尼西奥·德尔·托罗","剧情,犯罪,悬疑",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p470383576.jpg
1292215,https://movie.douban.com/subject/1292215/,2001,天使爱美丽,8.7,Le fabuleux destin d'Amélie Poulain,让-皮埃尔·热内,"奥黛丽·塔图,马修·卡索维茨,吕菲斯","喜剧,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p803896904.jpg
1292217,https://movie.douban.com/subject/1292217/,2001,穆赫兰道,8.3,Mulholland Dr.,大卫·林奇,"娜奥米·沃茨,劳拉·哈灵,安·米勒","剧情,悬疑,惊悚",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p792248233.jpg
1292218,https://movie.douban.com/subject/1292218/,1998,中央车站,8.7,Central do Brasil,沃尔特·塞勒斯,"费尔兰德·蒙特纳哥,马里利娅·佩拉,文尼西斯·狄·奥利维拉",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2239441575.jpg
1292220,https://movie.douban.com/subject/1292220/,1995,情书,8.8,Love Letter,岩井俊二,"中山美穗,丰川悦司,酒井美纪","剧情,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p449897379.jpg
1292223,https://movie.douban.com/subject/1292223/,1995,七宗罪,8.7,Se7en,大卫·芬奇,"摩根·弗里曼,布拉德·皮特,凯文·史派西","剧情,犯罪,悬疑",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p457631605.jpg
1292224,https://movie.douban.com/subject/1292224/,1975,飞越疯人院,9,One Flew Over the Cuckoo's Nest,米洛斯·福尔曼,"杰克·尼科尔森,丹尼·德维托,克里斯托弗·洛伊德",剧情,https://img1.doubanio.com/view/movie_poster_cover/spst/public/p792238287.jpg
1292233,https://movie.douban.com/subject/1292233/,1971,发条橙,8.4,A Clockwork Orange,斯坦利·库布里克,"马尔科姆·麦克道威尔,帕特里克·马基,迈克尔·贝茨","犯罪,剧情,科幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p529908155.jpg
1292262,https://movie.douban.com/subject/1292262/,1984,美国往事,9.1,Once Upon a Time in America,赛尔乔·莱翁内,"罗伯特·德尼罗,詹姆斯·伍兹,伊丽莎白·麦戈文","犯罪,剧情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p477229647.jpg
1292270,https://movie.douban.com/subject/1292270/,2000,梦之安魂曲,8.7,Requiem for a Dream,达伦·阿伦诺夫斯基,"艾伦·伯斯汀,杰瑞德·莱托,詹妮弗·康纳利",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p884936202.jpg
1292274,https://movie.douban.com/subject/1292274/,2004,幸福终点站,8.6,The Terminal,史蒂文·斯皮尔伯格,"汤姆·汉克斯,凯瑟琳·泽塔-琼斯,斯坦利·图齐","喜剧,剧情,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p854757687.jpg
1292281,https://movie.douban.com/subject/1292281/,2001,迁徙的鸟,9.1,Le peuple migrateur,"雅克·贝汉, 雅克·克鲁奥德,米歇尔·德巴",雅克·贝汉,纪录片,https://img1.doubanio.com/view/movie_poster_cover/spst/public/p2238274168.jpg
1292287,https://movie.douban.com/subject/1292287/,1992,新龙门客栈,8.4,新龍門客棧,李惠民,"张曼玉,林青霞,梁家辉","剧情,动作,武侠",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1421018669.jpg
1292328,https://movie.douban.com/subject/1292328/,1994,东邪西毒,8.6,東邪西毒,王家卫,"张国荣,张曼玉,梁朝伟","剧情,动作,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1982176012.jpg
1292329,https://movie.douban.com/subject/1292329/,1991,牯岭街少年杀人事件,8.7,牯嶺街少年殺人事件,杨德昌,"张震,杨静怡,张国柱","剧情,犯罪",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p848381236.jpg
1292343,https://movie.douban.com/subject/1292343/,2004,蝴蝶效应,8.7,The Butterfly Effect,"埃里克·布雷斯,J·麦基·格鲁伯","阿什顿·库彻,梅罗拉·沃特斯,艾米·斯马特","剧情,悬疑,科幻",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p2209066019.jpg
1292365,https://movie.douban.com/subject/1292365/,1994,活着,9.1,活着,张艺谋,"葛优,巩俐,姜武","剧情,家庭",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2173575484.jpg
1292370,https://movie.douban.com/subject/1292370/,1990,剪刀手爱德华,8.7,Edward Scissorhands,蒂姆·波顿,"约翰尼·德普,薇诺娜·瑞德,黛安·韦斯特","剧情,奇幻,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p480956937.jpg
1292401,https://movie.douban.com/subject/1292401/,2003,真爱至上,8.5,Love Actually,理查德·柯蒂斯,"休·格兰特,科林·费尔斯,艾玛·汤普森","喜剧,剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p475600770.jpg
1292402,https://movie.douban.com/subject/1292402/,2000,西西里的美丽传说,8.7,Malèna,朱塞佩·托纳多雷,"莫妮卡·贝鲁奇,朱塞佩·苏尔法罗,Luciano Federico","剧情,战争,情色",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p792400696.jpg
1292434,https://movie.douban.com/subject/1292434/,2000,一一,8.9,一一,杨德昌,"吴念真,李凯莉,金燕玲","剧情,爱情,家庭",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p2119675128.jpg
1292528,https://movie.douban.com/subject/1292528/,1996,猜火车,8.5,Trainspotting,丹尼·博伊尔,"伊万·麦克格雷格,艾文·布莱纳,约翰尼·李·米勒","犯罪,剧情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p513567548.jpg
1292656,https://movie.douban.com/subject/1292656/,1997,心灵捕手,8.7,Good Will Hunting,格斯·范·桑特,"马特·达蒙,罗宾·威廉姆斯,本·阿弗莱克",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p480965695.jpg
1292659,https://movie.douban.com/subject/1292659/,1997,变脸,8.4,Face/Off,吴宇森,"约翰·特拉沃尔塔,尼古拉斯·凯奇,琼·艾伦","动作,科幻,犯罪",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2173855883.jpg
1292679,https://movie.douban.com/subject/1292679/,1997,春光乍泄,8.8,春光乍洩,王家卫,"张国荣,梁朝伟,张震","剧情,爱情,同性",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p465939041.jpg
1292720,https://movie.douban.com/subject/1292720/,1994,阿甘正传,9.4,Forrest Gump,罗伯特·泽米吉斯,"汤姆·汉克斯,罗宾·怀特,加里·西尼斯","剧情,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p510876377.jpg
1292722,https://movie.douban.com/subject/1292722/,1997,泰坦尼克号,9.2,Titanic,詹姆斯·卡梅隆,"莱昂纳多·迪卡普里奥,凯特·温丝莱特,比利·赞恩","剧情,爱情,灾难",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p457760035.jpg
1292728,https://movie.douban.com/subject/1292728/,1996,勇闯夺命岛,8.5,The Rock,迈克尔·贝,"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯","动作,冒险",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p636048104.jpg
1292849,https://movie.douban.com/subject/1292849/,1998,拯救大兵瑞恩,8.8,Saving Private Ryan,史蒂文·斯皮尔伯格,"汤姆·汉克斯,汤姆·塞兹摩尔,爱德华·伯恩斯","剧情,历史,战争",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1014542496.jpg
1293172,https://movie.douban.com/subject/1293172/,1987,末代皇帝,8.9,The Last Emperor,贝纳尔多·贝托鲁奇,"尊龙,陈冲,彼得·奥图尔","剧情,传记,历史",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p452088641.jpg
1293181,https://movie.douban.com/subject/1293181/,1960,惊魂记,8.8,Psycho,阿尔弗雷德·希区柯克,"珍妮特·利,安东尼·博金斯,维拉·迈尔斯","悬疑,恐怖",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1021883305.jpg
1293182,https://movie.douban.com/subject/1293182/,1957,十二怒汉,9.4,12 Angry Men,西德尼·吕美特,"亨利·方达,马丁·鲍尔萨姆,约翰·菲德勒",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2173577632.jpg
1293318,https://movie.douban.com/subject/1293318/,1988,萤火虫之墓,8.7,火垂るの墓,高畑勋,"辰己努,白石绫乃,志乃原良子","动画,剧情,战争",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1157334208.jpg
1293350,https://movie.douban.com/subject/1293350/,1998,两杆大烟枪,9,"Lock, Stock and Two Smoking Barrels",盖·里奇,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰","剧情,喜剧,犯罪",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p792443418.jpg
1293359,https://movie.douban.com/subject/1293359/,1999,菊次郎的夏天,8.7,菊次郎の夏,北野武,"北野武,关口雄介,岸本加世子","剧情,喜剧",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p751835224.jpg
1293460,https://movie.douban.com/subject/1293460/,1952,雨中曲,8.9,Singin' in the Rain,"斯坦利·多南,吉恩·凯利","吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯","喜剧,歌舞,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1612355875.jpg
1293544,https://movie.douban.com/subject/1293544/,1991,沉默的羔羊,8.7,The Silence of the Lambs,乔纳森·戴米,"朱迪·福斯特,安东尼·霍普金斯,斯科特·格伦","剧情,犯罪,惊悚",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1593414327.jpg
1293764,https://movie.douban.com/subject/1293764/,1990,与狼共舞,8.9,Dances with Wolves,凯文·科斯特纳,"凯文·科斯特纳,玛丽·麦克唐纳,格雷厄姆·格林","冒险,剧情,西部",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p499158228.jpg
1293839,https://movie.douban.com/subject/1293839/,1953,罗马假日,8.9,Roman Holiday,威廉·惠勒,"奥黛丽·赫本,格利高里·派克,埃迪·艾伯特","喜剧,剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2189265085.jpg
1293908,https://movie.douban.com/subject/1293908/,1931,城市之光,9.2,City Lights,查理·卓别林,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李","喜剧,剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p2099815842.jpg
1293929,https://movie.douban.com/subject/1293929/,1995,廊桥遗梦,8.5,The Bridges of Madison County,克林特·伊斯特伍德,"克林特·伊斯特伍德,梅丽尔·斯特里普,安妮·科利","剧情,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p2190558219.jpg
1293964,https://movie.douban.com/subject/1293964/,1940,魂断蓝桥,8.8,Waterloo Bridge,茂文·勒鲁瓦,"费雯·丽,罗伯特·泰勒,露塞尔·沃特森","剧情,战争,爱情",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p2351134499.jpg
